userID,subscriptionAgeGroup,monthsActive,monthlySubscriptionCost,totalAmountPaid,churned,listeningHoursPerWeek,appUpdateFrequency,daysSinceLastLogin,gender_Male,hasFamilyPlan_Yes,hasSharedAccount_Yes,hasMobileApp_Yes,usesMultipleDevices_Yes,subscriptionType_Free Trial,subscriptionType_Individual Plan,subscriptionType_Student Plan,parentalControlsEnabled_No internet service,parentalControlsEnabled_Yes,playlistBackupEnabled_Yes,deviceSyncEnabled_Yes,contactedSupportRecently_No internet service,contactedSupportRecently_Yes,watchesMusicVideos_No internet service,watchesMusicVideos_Yes,listensToPodcasts_No internet service,listensToPodcasts_Yes,usesAutoBilling_Yes,paymentMethod_Credit card (automatic),paymentMethod_Electronic check,paymentMethod_Mailed check,favoriteGenre_Electronic,favoriteGenre_Hip-Hop,favoriteGenre_Jazz,favoriteGenre_Pop,favoriteGenre_R&B,favoriteGenre_Rock,subscriptionAgeGroupLabel_Senior,subscriptionAgeGroupLabel_Teen
4183-MYFRB,1,21,10.99,1862.9,No,11.7,15,3,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False
8779-QRDMV,2,1,16.99,39.65,Yes,21.4,20,9,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False
1680-VDCWW,1,12,16.99,202.25,No,9.4,9,1,True,True,True,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1066-JKSGK,1,1,16.99,20.15,Yes,22.5,14,29,True,True,False,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
3638-WEABW,1,58,5.99,3505.1,No,18.1,19,0,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
6322-HRPFA,0,49,16.99,2970.3,No,16.7,5,4,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
6865-JZNKO,1,30,10.99,1530.6,No,7.8,15,2,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
6467-CHFZW,1,47,10.99,4749.15,Yes,11.2,14,0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False
8665-UTDHZ,1,1,5.99,30.2,Yes,8.8,15,17,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
5248-YGIJN,2,72,10.99,6369.45,No,13.3,15,6,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False
8773-HHUOZ,1,17,16.99,1093.1,Yes,10.4,13,5,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False
3841-NFECX,1,71,5.99,6766.95,No,18.1,16,6,False,False,False,True,True,False,False,True,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
4929-XIHVW,1,2,10.99,181.65,No,17.2,11,18,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False
6827-IEAUQ,1,27,10.99,1874.45,No,12.5,7,6,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
7310-EGVHZ,1,1,10.99,20.2,No,17.8,14,7,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
3413-BMNZE,1,1,16.99,45.25,No,17.1,12,9,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6234-RAAPL,1,72,10.99,7251.7,No,8.1,16,5,False,False,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6047-YHPVI,1,5,5.99,316.9,Yes,14.6,12,24,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
6572-ADKRS,1,46,5.99,3548.3,No,18.2,18,1,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
5380-WJKOV,1,34,10.99,3549.25,Yes,12.2,16,1,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False
8168-UQWWF,0,11,0.0,1105.4,Yes,7.9,7,8,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True
8865-TNMNX,1,10,16.99,475.7,No,7.3,11,11,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
9489-DEDVP,1,70,16.99,4872.35,No,17.6,14,2,False,True,False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False
9867-JCZSP,2,17,10.99,418.25,No,15.6,23,6,False,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False
4671-VJLCL,1,63,10.99,4861.45,No,16.0,9,0,False,False,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False
4080-IIARD,1,13,16.99,981.45,No,13.4,18,4,False,True,False,True,True,False,False,False,False,True,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False
3714-NTNFO,1,49,10.99,3906.7,No,20.6,11,2,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False
5948-UJZLF,1,2,10.99,97.0,No,22.0,7,24,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
7760-OYPDY,2,2,10.99,144.15,Yes,15.1,19,18,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False
7639-LIAYI,1,52,10.99,4217.8,No,8.5,5,6,True,False,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False
2954-PIBKO,1,69,16.99,4254.1,No,14.9,17,1,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
8012-SOUDQ,1,43,16.99,3838.75,No,13.3,13,4,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
9420-LOJKX,1,15,10.99,1426.4,Yes,19.6,19,1,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False
6575-SUVOI,0,25,16.99,1752.65,No,4.3,5,4,False,True,False,True,True,False,False,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True
7495-OOKFY,2,8,16.99,633.3,Yes,10.7,27,3,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False
4667-QONEA,1,60,10.99,4456.35,No,17.1,8,4,False,False,False,True,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False
1658-BYGOY,1,18,16.99,1752.55,Yes,19.0,12,6,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False
8769-KKTPH,2,63,16.99,6311.2,No,16.0,28,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,True,False
5067-XJQFU,1,66,16.99,7076.35,No,16.7,10,5,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
3957-SQXML,2,34,10.99,894.3,No,25.0,18,2,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
5954-BDFSG,1,72,5.99,7853.7,No,12.3,8,3,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False
0434-CSFON,1,47,16.99,4707.1,No,20.2,5,1,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
1215-FIGMP,1,60,10.99,5450.7,No,17.9,13,5,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0526-SXDJP,1,72,5.99,2962.0,No,22.3,10,4,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0557-ASKVU,1,18,10.99,957.1,No,15.2,19,5,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
5698-BQJOH,1,9,16.99,857.25,Yes,15.3,8,6,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
5122-CYFXA,2,3,10.99,244.1,No,11.1,19,21,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False
8627-ZYGSZ,1,47,5.99,3650.35,No,10.1,12,4,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
3410-YOQBQ,1,31,5.99,2497.2,No,17.2,14,0,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
3170-NMYVV,2,50,16.99,930.9,No,14.2,29,1,False,True,False,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
7410-OIEDU,1,10,16.99,887.35,No,17.7,9,13,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
2273-QCKXA,1,1,5.99,49.05,No,18.8,15,21,True,False,False,True,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0731-EBJQB,1,52,5.99,1090.65,No,20.2,15,2,False,False,False,True,True,False,False,True,True,False,True,True,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False
1891-QRQSA,1,64,10.99,7099.0,No,21.4,8,5,True,False,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False
8028-PNXHQ,2,62,10.99,1424.6,No,10.4,19,3,True,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False
5630-AHZIL,1,3,10.99,177.4,No,18.8,15,26,False,False,False,True,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
2673-CXQEU,1,56,5.99,6139.5,No,14.8,10,5,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
6416-JNVRK,0,46,0.0,2688.85,No,9.3,6,5,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True
5590-ZSKRV,1,8,5.99,482.25,No,14.8,9,9,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0191-ZHSKZ,1,30,10.99,2111.3,No,13.6,19,0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False
3887-PBQAO,1,45,10.99,1216.6,No,11.2,17,1,False,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False
5919-TMRGD,2,1,16.99,79.35,Yes,12.3,29,21,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False
8108-UXRQN,1,11,10.99,565.35,No,18.1,16,8,False,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
9191-MYQKX,2,7,16.99,496.9,Yes,26.4,16,3,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
9919-YLNNG,1,42,10.99,4327.5,No,19.7,7,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False
0318-ZOPWS,1,49,10.99,973.35,No,15.3,11,6,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
4445-ZJNMU,1,9,10.99,918.75,No,12.6,15,2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False
4808-YNLEU,2,35,10.99,2215.45,No,18.1,25,6,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1862-QRWPE,1,48,10.99,1057.0,No,12.7,12,6,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2796-NNUFI,1,46,10.99,927.1,No,12.0,10,0,False,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False
3016-KSVCP,1,29,10.99,1009.25,No,20.6,10,3,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
4767-HZZHQ,1,30,10.99,2570.2,No,16.1,5,2,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2424-WVHPL,1,1,16.99,74.7,No,20.8,17,17,True,True,True,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
7233-PAHHL,1,66,5.99,5714.25,No,15.7,9,6,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False
6067-NGCEU,0,65,16.99,7107.0,No,10.5,6,5,False,True,False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True
9848-JQJTX,1,72,10.99,7459.05,No,14.7,11,0,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False
8637-XJIVR,1,12,10.99,927.35,Yes,18.9,13,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
9803-FTJCG,1,71,16.99,4748.7,No,6.0,12,1,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
0278-YXOOG,1,5,10.99,113.85,Yes,3.6,14,9,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
3212-KXOCR,0,52,16.99,1107.2,No,17.0,5,5,True,True,True,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
4598-XLKNJ,1,25,16.99,2514.5,Yes,10.2,15,4,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False
6380-ARCEH,0,1,16.99,20.2,No,21.9,2,12,True,True,True,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
3679-XASPY,1,1,10.99,19.45,No,15.0,11,9,False,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
7123-WQUHX,1,38,16.99,3605.6,No,23.0,15,4,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5386-THSLQ,0,66,0.0,3027.25,No,5.4,9,2,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
3192-NQECA,0,68,0.0,7611.85,Yes,3.7,1,2,True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True
6180-YBIQI,1,5,10.99,100.2,No,2.6,17,14,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
6728-DKUCO,1,72,16.99,7303.05,No,15.8,8,0,False,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False
9750-BOOHV,1,32,16.99,927.65,No,16.2,12,0,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
8597-CWYHH,1,43,16.99,3921.3,No,15.6,13,4,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
2848-YXSMW,1,72,10.99,1363.25,No,8.5,5,2,True,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
0486-HECZI,1,55,10.99,5238.9,Yes,17.9,7,5,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False
4549-ZDQYY,1,52,16.99,3042.25,No,20.6,15,1,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
5712-AHQNN,0,43,16.99,3954.1,No,10.9,3,2,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True
4846-WHAFZ,1,37,16.99,2868.15,Yes,22.7,18,2,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
5256-SKJGO,2,64,16.99,3423.5,No,8.3,20,6,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,True,True,False
3071-VBYPO,1,3,10.99,248.4,No,4.6,10,7,True,False,False,True,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
9560-BBZXK,1,36,10.99,1126.35,No,15.8,7,1,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
5299-RULOA,1,10,10.99,1064.65,Yes,4.2,12,5,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
8402-OOOHJ,1,41,16.99,835.15,No,10.7,9,3,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
9445-ZUEQE,1,27,10.99,2151.6,No,16.0,18,2,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
1091-SOZGA,1,56,10.99,5515.45,No,19.2,15,5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False
2928-HLDBA,1,6,10.99,112.75,No,12.7,5,3,False,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
0404-SWRVG,0,3,16.99,229.55,Yes,21.2,7,27,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
6497-TILVL,1,7,5.99,350.35,No,19.6,18,4,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
7219-TLZHO,1,4,10.99,62.9,No,14.7,13,10,False,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
4622-YNKIJ,1,33,10.99,3027.65,No,6.6,16,5,True,False,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False
4412-YLTKF,0,27,0.0,2135.5,Yes,9.8,1,5,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
6734-PSBAW,1,72,16.99,1723.95,No,16.7,16,2,True,True,False,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
3930-ZGWVE,1,1,16.99,19.75,No,13.3,9,14,True,True,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
2639-UGMAZ,1,71,10.99,3985.35,No,16.4,18,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False
2876-GZYZC,2,13,10.99,1215.65,No,13.8,25,0,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False
6207-WIOLX,1,25,10.99,1502.65,Yes,17.2,10,4,False,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False
8587-XYZSF,1,67,10.99,3260.1,No,17.6,19,1,True,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3091-FYHKI,1,1,5.99,35.45,Yes,13.7,14,13,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False
2372-HWUHI,1,2,16.99,81.25,Yes,13.7,14,8,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
7799-LGRDP,2,43,16.99,1188.2,No,14.3,25,3,False,True,True,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
7850-VWJUU,2,23,16.99,1778.5,No,22.6,26,2,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
3774-VBNXY,1,64,16.99,1277.75,No,13.0,6,3,False,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
6217-KDYWC,1,57,5.99,1170.55,No,14.9,13,2,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False
0390-DCFDQ,1,1,16.99,70.45,Yes,11.8,18,14,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
3146-MSEGF,1,72,10.99,6425.65,No,15.7,16,2,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False
